dataset_id,name,mapCategory,taskType,entityType,district,LayerKey
"OA-16083","서울시 유통전문판매업 인허가 정보","산업/경제","인허가","유통","citywide","산업/경제/인허가/유통"
"OA-18395","서울시 영등포구 유통전문판매업 인허가 정보","산업/경제","인허가","유통","영등포구","산업/경제/인허가/유통"
"OA-16760","서울시 영등포구 복합유통게임제공업 인허가 정보","문화/관광","인허가","유통","영등포구","문화/관광/인허가/유통"
"OA-16599","서울시 강북구 동물판매업 인허가 정보","산업/경제","인허가","동물판매업","강북구","산업/경제/인허가/동물판매업"
"OA-16176","서울시 금천구 병원 인허가 정보","보건","인허가","병원","금천구","보건/인허가/병원"
"OA-16601","서울시 노원구 동물판매업 인허가 정보","산업/경제","인허가","동물판매업","노원구","산업/경제/인허가/동물판매업"
"OA-16663","서울시 강남구 사료제조업 인허가 정보","산업/경제","인허가","사료제조업","강남구","산업/경제/인허가/사료제조업"
"OA-16661","서울시 관악구 사료제조업 인허가 정보","산업/경제","인허가","사료제조업","관악구","산업/경제/인허가/사료제조업"
"OA-16665","서울시 강동구 사료제조업 인허가 정보","산업/경제","인허가","사료제조업","강동구","산업/경제/인허가/사료제조업"
"OA-16349","서울시 강서구 의료법인 인허가 정보","보건","인허가","의료법인","강서구","보건/인허가/의료법인"
"OA-16014","서울시 게임물배급업 인허가 정보","문화/관광","인허가","인허가","citywide","문화/관광/인허가/인허가"
"OA-16696","서울시 동대문구 게임물제작업 인허가 정보","문화/관광","인허가","게임물제작업","동대문구","문화/관광/인허가/게임물제작업"
"OA-16540","서울시 강동구 동물약국 인허가 정보","보건","인허가","약국","강동구","보건/인허가/약국"
"OA-16707","서울시 구로구 게임물제작업 인허가 정보","문화/관광","인허가","게임물제작업","구로구","문화/관광/인허가/게임물제작업"
"OA-16419","서울시 마포구 의료기기수리업 인허가 정보","보건","인허가","의료기기수리업","마포구","보건/인허가/의료기기수리업"
"OA-17667","서울시 강서구 영화상영관 인허가 정보","문화/관광","인허가","영화상영관","강서구","문화/관광/인허가/영화상영관"
"OA-16290","서울시 광진구 안전상비의약품 판매업소 인허가 정보","보건","인허가","인허가","광진구","보건/인허가/인허가"
"OA-16721","서울시 광진구 복합영상물제공업 인허가 정보","문화/관광","인허가","복합영상물제공업","광진구","문화/관광/인허가/복합영상물제공업"
"OA-16596","서울시 동대문구 동물판매업 인허가 정보","산업/경제","인허가","동물판매업","동대문구","산업/경제/인허가/동물판매업"
"OA-16734","서울시 금천구 복합영상물제공업 인허가 정보","문화/관광","인허가","복합영상물제공업","금천구","문화/관광/인허가/복합영상물제공업"
"OA-16722","서울시 동대문구 복합영상물제공업 인허가 정보","문화/관광","인허가","복합영상물제공업","동대문구","문화/관광/인허가/복합영상물제공업"
"OA-16595","서울시 광진구 동물판매업 인허가 정보","산업/경제","인허가","동물판매업","광진구","산업/경제/인허가/동물판매업"
"OA-16818","서울시 중구 청소년게임제공업 인허가 정보","문화/관광","인허가","청소년게임제공업","중구","문화/관광/인허가/청소년게임제공업"
"OA-17823","서울시 서초구 음반.음악영상물제작업 인허가 정보","문화/관광","인허가","음반.음악영상물제작업","서초구","문화/관광/인허가/음반.음악영상물제작업"
"OA-15995","서울시 종로구 병원 인허가 정보","보건","인허가","병원","종로구","보건/인허가/병원"
"OA-16229","서울시 강서구 의원 인허가 정보","보건","인허가","병원","강서구","보건/인허가/병원"
"OA-16236","서울시 강남구 의원 인허가 정보","보건","인허가","병원","강남구","보건/인허가/병원"
"OA-16761","서울시 동작구 복합유통게임제공업 인허가 정보","문화/관광","인허가","유통","동작구","문화/관광/인허가/유통"
"OA-16275","서울시 마포구 산후조리업 인허가 정보","보건","인허가","산후조리업","마포구","보건/인허가/산후조리업"
"OA-16748","서울시 중랑구 복합유통게임제공업 인허가 정보","문화/관광","인허가","유통","중랑구","문화/관광/인허가/유통"
"OA-16603","서울시 서대문구 동물판매업 인허가 정보","산업/경제","인허가","동물판매업","서대문구","산업/경제/인허가/동물판매업"
"OA-16513","서울시 강남구 동물병원 인허가 정보","보건","인허가","병원","강남구","보건/인허가/병원"
"OA-18343","서울시 구로구 용기·포장지제조업 인허가 정보","보건","인허가","용기·포장지제조업","구로구","보건/인허가/용기·포장지제조업"
"OA-18426","서울시 강동구 제과점영업 인허가 정보","보건","인허가","제과점영업","강동구","보건/인허가/제과점영업"
"OA-16298","서울시 서대문구 안전상비의약품 판매업소 인허가 정보","보건","인허가","인허가","서대문구","보건/인허가/인허가"
"OA-16612","서울시 서초구 동물판매업 인허가 정보","산업/경제","인허가","동물판매업","서초구","산업/경제/인허가/동물판매업"
"OA-16653","서울시 서대문구 사료제조업 인허가 정보","산업/경제","인허가","사료제조업","서대문구","산업/경제/인허가/사료제조업"
